Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/5/31,-92497290.53509888,-1153.867445699418,830.6195965680755,6198.52002,46.56060606,1.1236,1.2905,110.71,2.21,4.358562065,0.9,151.7709403
2017/6/1,-92497290.53509888,-1152.7910317075405,829.3513117502116,6246.830078,46.56060606,1.1214,1.2894,111.24,2.21,4.358562065,0.9,151.7996567
2017/6/2,-92497290.53509888,-1151.7024366724067,828.0111252636304,6305.799805,46.56060606,1.127,1.2885,110.49,2.15,4.360518252,0.961904762,151.8283731
2017/6/5,-92497290.53509888,-1151.6523967463763,828.0442664210251,6295.680176,46.56060606,1.125,1.2917,110.49,2.18,4.362474439,1.023809524,151.8570896
2017/6/6,-92497290.53509888,-1150.3506498376992,827.7238258853009,6275.060059,46.56060606,1.1266,1.2901,109.34,2.14,4.364430626,1.085714286,151.885806
2017/6/7,-92497290.53509888,-1149.0489074884133,827.40338357783,6297.379883,46.56060606,1.1236,1.2941,109.54,2.18,4.366386813,1.147619048,151.9145224
2017/6/8,-92497290.53509888,-1147.7471567011075,827.0829366198684,6321.759766,46.56060606,1.1217,1.2939,110.1,2.19,4.368343,1.20952381,151.9719552
2017/6/9,-92497290.53509888,-1146.4454143530131,826.7624943781549,6207.919922,46.56060606,1.119,1.2737,110.61,2.21,4.370299186,1.271428571,152.0006716
2017/6/12,-92497290.53509888,-1145.1436674457386,826.4420538414901,6175.459961,46.56060606,1.1204,1.2658,109.72,2.21,4.372255373,1.333333333,152.0293881
2017/6/13,-92497290.53509888,-1143.84192509505,826.1216115349598,6220.370117,46.56060606,1.1194,1.2739,110.12,2.21,4.37421156,1.395238095,152.0581045
2017/6/14,-92497290.53509888,-1142.5401779678004,825.801171143939,6194.890137,46.56060606,1.1277,1.2808,109.16,2.15,4.376167747,1.457142857,152.0868209
2017/6/15,-92497290.53509888,-1141.2384271818976,825.4807241850368,6165.5,46.56060606,1.1152,1.2768,110.66,2.16,4.378123934,1.519047619,152.1155373
2017/6/16,-92497290.53509888,-1139.9366850511842,825.1602817328626,6151.759766,46.56060606,1.1194,1.2778,110.84,2.16,4.380080121,1.580952381,152.1442537
2017/6/19,-92497290.53509888,-1138.6349379239348,824.8398413418417,6239.009766,46.56060606,1.116,1.2743,111.34,2.19,4.382036308,1.642857143,152.1729701
2017/6/20,-92497290.53509888,-1137.3331955744372,824.5193991010688,6188.029785,46.56060606,1.1124,1.2628,111.46,2.16,4.383992495,1.704761905,152.2016866
2017/6/21,-92497290.53509888,-1136.031448667163,824.198958564404,6233.950195,46.56060606,1.1143,1.2667,111.58,2.16,4.385948682,1.766666667,152.230403
2017/6/22,-92497290.53509888,-1134.7297063178778,823.8785162569343,6236.689941,46.56060606,1.1148,1.2659,111.36,2.15,4.387904869,1.828571429,152.2591194
2017/6/23,-92497290.53509888,-1133.4279555305716,823.5580692989716,6265.25,46.56060606,1.1196,1.2727,111.26,2.15,4.389861055,1.89047619,152.2878358
2017/6/26,-92497290.53509888,-1132.1262084033228,823.237628907952,6247.149902,46.56060606,1.1196,1.2732,111.48,2.14,4.391817242,1.952380952,152.3165522
2017/6/27,-92497290.53509888,-1130.824466274012,822.9171864548372,6146.620117,46.56060606,1.13,1.2791,112.42,2.21,4.393773429,2.014285714,152.3452687
2017/6/28,-92497290.53509888,-1129.5227191453598,822.5967460647569,6234.410156,46.56060606,1.1364,1.2936,112.18,2.22,4.395729616,2.076190476,152.3739851
2017/6/29,-92497290.53509888,-1128.2209767972652,822.2763038230433,6144.350098,46.56060606,1.142,1.2984,112.32,2.27,4.397685803,2.138095238,152.4027015
