Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2019/1/9,0.358226613,2019/1/8,0,0.513197029,0.112109922,0.138113488,0.337649009,0.636490251,0.556902728,0.127906977,0.592493298,0.040183173,0.243223096,0.159057867
2019/1/10,0.240101891,2019/1/9,0,0.51388661,0.11189347,0.143766296,0.337649009,0.664345404,0.567925048,0.123890063,0.595174263,0.039557209,0.241935484,0.15898382
2019/1/11,0.441165123,2019/1/10,0,0.51380284,0.111775169,0.14649388,0.337649009,0.661908078,0.56902728,0.121987315,0.595174263,0.038931244,0.240647872,0.158909772
2019/1/14,0.305447428,2019/1/11,0,0.512908289,0.111864539,0.145121152,0.337649009,0.64867688,0.587765225,0.123044397,0.587131367,0.038305279,0.23936026,0.158835725
2019/1/15,0.414775464,2019/1/14,0,0.512013738,0.111953907,0.138952745,0.337649009,0.618384401,0.567098374,0.131078224,0.587131367,0.037679315,0.238072648,0.158761677
2019/1/16,0.29162399,2019/1/15,0,0.511119186,0.112043277,0.150046663,0.337649009,0.618384401,0.567098374,0.131078224,0.589812332,0.03705335,0.236785037,0.15868763
2019/1/17,0.414775597,2019/1/16,0,0.510224635,0.112132646,0.151068444,0.337649009,0.623955432,0.594929733,0.133615222,0.592493298,0.036427386,0.235497425,0.158613582
2019/1/18,0.377076274,2019/1/17,0,0.509330085,0.112222016,0.1557512,0.337649009,0.616295265,0.616423257,0.137209302,0.597855228,0.035801421,0.234209813,0.158539535
2019/1/22,0.336863177,2019/1/18,0,0.508435533,0.112311384,0.162597978,0.337649009,0.607938719,0.604849821,0.153699789,0.608579088,0.035175456,0.232922201,0.158465488
2019/1/23,0.355713501,2019/1/22,0,0.506646431,0.112490123,0.149720157,0.337649009,0.60689415,0.620556627,0.144186047,0.595174263,0.033923527,0.230346978,0.158317393
2019/1/24,0.217482563,2019/1/23,0,0.50575188,0.112579493,0.150229188,0.337649009,0.617688022,0.65334803,0.146300211,0.600536193,0.033297563,0.229059366,0.158317393
2019/1/25,0.330580398,2019/1/24,0,0.504857329,0.112668861,0.154716234,0.337649009,0.594011142,0.640396804,0.152219873,0.589812332,0.032671598,0.227771754,0.158628794
2019/1/28,0.23004865,2019/1/25,0,0.503962779,0.112758231,0.163315858,0.337649009,0.623607242,0.681454946,0.149682875,0.600536193,0.032045633,0.226484142,0.158940196
2019/1/29,0.525359791,2019/1/28,0,0.503068228,0.1128476,0.155866008,0.337649009,0.634401114,0.676494902,0.141226216,0.597855228,0.031419669,0.22519653,0.159251599
2019/1/30,0.471324581,2019/1/29,0,0.502173677,0.11293697,0.150466291,0.337649009,0.629526462,0.673188206,0.144608879,0.589812332,0.030793704,0.223908918,0.159563
2019/1/31,0.478864445,2019/1/30,0,0.501279125,0.113026338,0.165030159,0.337649009,0.627437326,0.650041334,0.149048626,0.584450402,0.03016774,0.223908918,0.159874402
2019/2/1,0.423572017,2019/1/31,0,0.500384574,0.113115709,0.174312885,0.337649009,0.639972145,0.670157068,0.133615222,0.565683646,0.029541775,0.224225174,0.160185803
2019/2/4,0.314243981,2019/2/1,0,0.503419266,0.108601078,0.172631523,0.337649009,0.646935933,0.65885919,0.148625793,0.584450402,0.02891581,0.224541429,0.160497205
2019/2/5,0.328066625,2019/2/4,0,0.502699603,0.108927104,0.18050385,0.337649009,0.634401114,0.651694682,0.157293869,0.592493298,0.02891581,0.224857685,0.160808608
2019/2/6,0.397182491,2019/2/5,0,0.50197994,0.10925313,0.185635407,0.337649009,0.623259053,0.618352163,0.157928118,0.587131367,0.028966628,0.225173941,0.161120009
2019/2/7,0.290367964,2019/2/6,0,0.501260275,0.109579156,0.183113824,0.337649009,0.614206128,0.620832185,0.152854123,0.584450402,0.029017445,0.225490196,0.161431411
2019/2/8,0.43613837,2019/2/7,0,0.500540612,0.109905181,0.174934793,0.337649009,0.606197772,0.623587765,0.15179704,0.571045576,0.029068263,0.225806452,0.161742812
2019/2/11,0.300421073,2019/2/8,0,0.499820949,0.110231208,0.175861568,0.337649009,0.5954039,0.614494351,0.153065539,0.565683646,0.02911908,0.226122707,0.162054214
2019/2/12,0.393412162,2019/2/11,0,0.499912066,0.110349563,0.176774193,0.337649009,0.578342618,0.594929733,0.166596195,0.571045576,0.029169898,0.226438963,0.162365617
2019/2/13,0.348173504,2019/2/12,0,0.499666407,0.111106785,0.186815273,0.337649009,0.591922006,0.601818683,0.168710359,0.579088472,0.029220715,0.226755218,0.162677018
2019/2/14,0.403465403,2019/2/13,0,0.499420749,0.111864009,0.187357197,0.337649009,0.582172702,0.595756407,0.176321353,0.587131367,0.029271532,0.227071474,0.16298842
2019/2/15,0.423572017,2019/2/14,0,0.499175092,0.112621231,0.187975384,0.337649009,0.580779944,0.57591623,0.172515856,0.573726542,0.02932235,0.227387729,0.163299821
2019/2/19,0.39466938,2019/2/15,0,0.498929435,0.113378455,0.192252616,0.337649009,0.575208914,0.593551943,0.169556025,0.573726542,0.029373167,0.227703985,0.163611223
2019/2/20,0.319270602,2019/2/19,0,0.498438118,0.114892899,0.193603705,0.337649009,0.596100279,0.642876826,0.172515856,0.571045576,0.029474802,0.228336496,0.164234027
2019/2/21,0.361996412,2019/2/20,0,0.498192461,0.115650123,0.193820089,0.337649009,0.599582173,0.649490218,0.173361522,0.571045576,0.029525619,0.228969007,0.164545429
2019/2/22,0.472581004,2019/2/21,0,0.497946803,0.116407345,0.191057681,0.337649009,0.599582173,0.649490218,0.173361522,0.581769437,0.029576437,0.229285262,0.16485683
2019/2/25,0.384615741,2019/2/22,0,0.497701144,0.117164567,0.19743967,0.337649009,0.60097493,0.651419124,0.172938689,0.571045576,0.029627254,0.229601518,0.165168232
2019/2/26,0.36199681,2019/2/25,0,0.497455487,0.117921791,0.199972509,0.337649009,0.602019499,0.64921466,0.180761099,0.576407507,0.029678072,0.229917774,0.165479633
2019/2/27,0.358226083,2019/2/26,0,0.49720983,0.118679014,0.199487001,0.337649009,0.612116992,0.702397355,0.174207188,0.568364611,0.029728889,0.230234029,0.165791036
2019/2/28,0.422315461,2019/2/27,0,0.496964172,0.119436238,0.199977195,0.337649009,0.610724234,0.720584183,0.177589852,0.581769437,0.029779707,0.230550285,0.166102438
2019/3/1,0.370792833,2019/2/28,0,0.496718513,0.12019346,0.197909145,0.337649009,0.613857939,0.708459631,0.187315011,0.592493298,0.029830524,0.230550285,0.16641384
2019/3/4,0.333093642,2019/3/1,0,0.48109097,0.139839888,0.203819775,0.337649009,0.61281337,0.694130614,0.198097252,0.600536193,0.029881341,0.228472034,0.166725241
2019/3/5,0.346916816,2019/3/4,0,0.480845313,0.140597112,0.202146867,0.337649009,0.596100279,0.684210526,0.193657505,0.589812332,0.029932159,0.226393783,0.167036643
2019/3/6,0.240101891,2019/3/5,0,0.480381144,0.141057284,0.202033024,0.337649009,0.586350975,0.671810416,0.2,0.589812332,0.029982976,0.224315533,0.167348046
2019/3/7,0.310474181,2019/3/6,0,0.480173132,0.141865683,0.195405479,0.337649009,0.593314763,0.673739322,0.193234672,0.581769437,0.029982976,0.222237282,0.167659447
2019/3/8,0.306703984,2019/3/7,0,0.479965119,0.142674082,0.187458819,0.337649009,0.556406685,0.662441444,0.191966173,0.568364611,0.028920161,0.220159031,0.167970849
2019/3/11,0.446191478,2019/3/8,0,0.479757107,0.143482481,0.186205585,0.337649009,0.566504178,0.635712317,0.181606765,0.563002681,0.027857345,0.218080781,0.16828225
2019/3/12,0.398439047,2019/3/11,0,0.479549095,0.144290881,0.200311234,0.337649009,0.560584958,0.659134748,0.18372093,0.568364611,0.02679453,0.21600253,0.168593652
2019/3/13,0.404722356,2019/3/12,0,0.479341082,0.14509928,0.203413286,0.337649009,0.577994429,0.660788096,0.187315011,0.560321716,0.025731715,0.213924279,0.168905055
2019/3/14,0.26649155,2019/3/13,0,0.479469844,0.145268812,0.208341645,0.337649009,0.589832869,0.696335079,0.184143763,0.560321716,0.024668899,0.211846029,0.169216456
2019/3/15,0.443678234,2019/3/14,0,0.479469137,0.145581837,0.207165546,0.337649009,0.587743733,0.710388537,0.194291755,0.565683646,0.023606084,0.209767778,0.169527858
2019/3/18,0.373306077,2019/3/15,0,0.479468431,0.145894864,0.212586856,0.337649009,0.5954039,0.709561863,0.191331924,0.554959786,0.022543268,0.207689527,0.169839259
2019/3/19,0.431112014,2019/3/18,0,0.479467724,0.14620789,0.215028455,0.337649009,0.599233983,0.694406172,0.18794926,0.557640751,0.021480453,0.205611277,0.170150661
2019/3/20,0.353199727,2019/3/19,0,0.479467017,0.146520916,0.215919487,0.337649009,0.602367688,0.705428493,0.187315011,0.560321716,0.020417637,0.203533026,0.170462064
2019/3/21,0.392156136,2019/3/20,0,0.47946631,0.146833942,0.21639181,0.337649009,0.604456825,0.685588316,0.18794926,0.54155496,0.019354822,0.201454775,0.170773465
2019/3/22,0.306703984,2019/3/21,0,0.479465604,0.147146967,0.226740513,0.337649009,0.607590529,0.653072472,0.176321353,0.54155496,0.018292007,0.199376525,0.171084867
2019/3/25,0.374562633,2019/3/22,0,0.479464897,0.147459993,0.208271998,0.337649009,0.580083565,0.69330394,0.153065539,0.514745308,0.017229191,0.197298274,0.171396268
2019/3/26,0.436138237,2019/3/25,0,0.47946419,0.14777302,0.207789338,0.337649009,0.594707521,0.688895012,0.160042283,0.512064343,0.016166376,0.195220023,0.17170767
2019/3/27,0.319270734,2019/3/26,0,0.479463484,0.148086046,0.2128682,0.337649009,0.579387187,0.692201708,0.168710359,0.506702413,0.01510356,0.193141773,0.172019073
2019/3/28,0.403465932,2019/3/27,0,0.479462776,0.148399072,0.208338797,0.337649009,0.568941504,0.685863874,0.166173362,0.501340483,0.014040745,0.191063522,0.172330474
2019/3/29,0.392155606,2019/3/28,0,0.47946207,0.148712098,0.210765327,0.337649009,0.564066852,0.657205842,0.169556025,0.501340483,0.012977929,0.188985272,0.172641876
2019/4/1,0.416032153,2019/3/29,0,0.479461363,0.149025124,0.216424704,0.337649009,0.561281337,0.641774594,0.172515856,0.506702413,0.011915114,0.186907021,0.172953277
2019/4/2,0.37833283,2019/4/1,0,0.475615186,0.154060452,0.225794948,0.429383437,0.555013928,0.67263709,0.185412262,0.528150134,0.010852299,0.186907021,0.173264679
2019/4/3,0.360739724,2019/4/2,0,0.475614478,0.154373478,0.227655987,0.429383437,0.546657382,0.642601268,0.186046512,0.525469169,0.009789483,0.188443119,0.173576082
2019/4/4,0.356969924,2019/4/3,0,0.475613771,0.154686504,0.232064932,0.429383437,0.566155989,0.682832736,0.189429175,0.536193029,0.008726668,0.189979217,0.173887483
2019/4/5,0.400952291,2019/4/4,0,0.475356909,0.154651302,0.231710219,0.429383437,0.557103064,0.652796914,0.190909091,0.533512064,0.007663852,0.191515316,0.174198885
2019/4/8,0.388385806,2019/4/5,0,0.475402883,0.155027787,0.236123897,0.429383437,0.557451253,0.635712317,0.194291755,0.530831099,0.007663852,0.193051414,0.174510286
2019/4/9,0.331837087,2019/4/8,0,0.475448856,0.155404272,0.237553086,0.429383437,0.573119777,0.646183522,0.189217759,0.536193029,0.007856463,0.194587512,0.174821688
2019/4/10,0.355713369,2019/4/9,0,0.475494829,0.155780756,0.233356757,0.429383437,0.578690808,0.646183522,0.180972516,0.533512064,0.008049074,0.196123611,0.175133089
2019/4/11,0.311730207,2019/4/10,0,0.475540803,0.156157242,0.23852787,0.429383437,0.574512535,0.660512538,0.177589852,0.525469169,0.008241684,0.197659709,0.175444492
