Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment,Pandemic1
0.000107558,0.584892878,0.277301138,0.577708635,0.480134457,0.793969849,0.435862069,0.530172414,0.440677966,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892856,0.277301128,0.583975764,0.480134457,0.371859296,0.493793103,0.610991379,0.508474576,0.356673753,0.519784946,0.245678198,0
0.000107558,0.584892873,0.277301096,0.563314626,0.480134457,0.814070352,0.397241379,0.614224138,0.508474576,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892856,0.277301128,0.559150077,0.480134457,0.575376884,0.468965517,0.570043103,0.457627119,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892878,0.277301138,0.573769433,0.480134457,0.489949749,0.562758621,0.615301724,0.542372881,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892872,0.277301096,0.561235172,0.480134457,0.557788945,0.504827586,0.674568966,0.627118644,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892857,0.277301128,0.566560865,0.480134457,0.462311558,0.482758621,0.681034483,0.440677966,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892877,0.277301137,0.537021786,0.480134457,0.582914573,0.503448276,0.572198276,0.559322034,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892873,0.277301097,0.556111982,0.480134457,0.768844221,0.56137931,0.543103448,0.474576271,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584892856,0.277301128,0.545108332,0.480134457,0.703517588,0.579310345,0.57112069,0.508474576,0.356673753,0.519784946,0.139668468,0
0.000107558,0.584931946,0.27706825,0.569009787,0.480134457,0.454773869,0.493793103,0.618534483,0.440677966,0.356673753,0.519784946,0.139668809,0
0.000107558,0.584892894,0.277301105,0.560282171,0.480134457,0.67839196,0.52137931,0.634698276,0.525423729,0.352162643,0.51483871,0.139668468,0
0.000107558,0.584890126,0.277299108,0.547563177,0.480134457,0.570351759,0.353103448,0.590517241,0.457627119,0.342620186,0.528172043,0.139668468,0
0.000107558,0.580847921,0.283236903,0.566930615,0.480134457,0.206030151,0.331034483,0.692887931,0.559322034,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071655,0.264826962,0.579054512,0.480134457,0.608040201,0.459310345,0.623922414,0.491525424,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071702,0.26482699,0.552761671,0.480134457,0.361809045,0.406896552,0.621767241,0.559322034,0.342620187,0.528172043,0.139668468,0
0.000107558,0.592071698,0.264826949,0.54997769,0.480134457,0.582914573,0.52,0.548491379,0.423728814,0.342620186,0.528172043,0.139668468,0
0.000107558,0.59207168,0.264826981,0.482206607,0.480134457,0.530150754,0.453793103,0.551724138,0.440677966,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071681,0.264826982,0.583375028,0.480134457,0.673366834,0.493793103,0.590517241,0.491525424,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071702,0.26482699,0.608778325,0.480134457,0.459798995,0.462068966,0.669181034,0.559322034,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071698,0.264826949,0.55627923,0.480134457,0.396984925,0.324137931,0.725215517,0.593220339,0.342620186,0.528172043,0.139668468,0
0.000107558,0.59207168,0.264826981,0.567438844,0.480134457,0.439698492,0.477241379,0.66487069,0.440677966,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071702,0.264826991,0.489288258,0.480134457,0.605527638,0.51862069,0.524784483,0.440677966,0.342620187,0.528172043,0.139668468,0
0.000107558,0.59207168,0.264826981,0.557341942,0.480134457,0.552763819,0.423448276,0.563577586,0.508474576,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071698,0.26482695,0.558485882,0.480134457,0.688442211,0.557241379,0.577586207,0.491525424,0.342620186,0.528172043,0.139668468,0
0.000107558,0.59207168,0.264826981,0.609171201,0.480134457,0.391959799,0.384827586,0.67887931,0.576271186,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071702,0.264826991,0.549434771,0.480134457,0.623115578,0.415172414,0.595905172,0.423728814,0.342620186,0.528172043,0.139668468,0
0.000107558,0.59207168,0.264826981,0.556360174,0.480134457,0.520100503,0.500689655,0.645474138,0.542372881,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071698,0.264826949,0.557163131,0.480134457,0.706030151,0.577931034,0.613146552,0.474576271,0.342620186,0.528172043,0.139668468,0
0.000107558,0.592071702,0.26482699,0.570488504,0.480134457,0.771356784,0.554482759,0.621767241,0.491525424,0.342620187,0.528172043,0.139668468,0
0.000107558,0.592071681,0.264826982,0.571349278,0.480134457,0.653266332,0.493793103,0.60237069,0.457627119,0.342620186,0.528172043,0.139668468,0
0.000107558,0.59207168,0.264826981,0.598814544,0.480134457,0.27638191,0.475862069,0.751077586,0.542372881,0.342620186,0.541505376,0.139668468,0
0.000107558,0.592071698,0.264826949,0.59530855,0.480134457,0.439698492,0.416551724,0.608836207,0.457627119,0.342620186,0.51483871,0.139668468,0
0.000107558,0.592130362,0.264477692,0.564302318,0.480134457,0.48241206,0.595862069,0.627155172,0.576271186,0.352162643,0.502580645,0.139668468,0
0.000107558,0.592340563,0.265023455,0.525931552,0.480134457,0.605527638,0.536551724,0.5,0.355932203,0.33415184,0.49032258,0.245678198,0
0.000107558,0.586172294,0.281919262,0.570696647,0.480134457,0.603015075,0.562758621,0.603448276,0.559322034,0.33415184,0.502580645,0.139668468,0
0.000107558,0.586172272,0.281919252,0.563083638,0.480134457,0.736180905,0.508965517,0.57112069,0.423728814,0.343157242,0.502580645,0.139668468,0
0.000107558,0.586172294,0.281919262,0.538685236,0.480134457,0.555276382,0.64137931,0.565732759,0.525423729,0.34315724,0.502580645,0.139668468,0
0.000107558,0.586172288,0.28191922,0.602077988,0.480134457,0.329145729,0.427586207,0.765086207,0.644067797,0.343157242,0.502580645,0.139668468,0
0.000107558,0.586172294,0.281919262,0.573168695,0.480134457,0.532663317,0.627586207,0.729525862,0.559322034,0.343157242,0.502580645,0.139668468,0
0.000107558,0.586172272,0.281919252,0.563863469,0.480134457,0.346733668,0.394482759,0.685344828,0.559322034,0.343157242,0.502580645,0.139668468,0
